date_id,full_date,day_of_week,month,quarter,year,is_weekend
DT20240101,01-01-2024,Monday,1,1,2024,FALSE
DT20240102,02-01-2024,Tuesday,1,1,2024,FALSE
DT20240103,03-01-2024,Wednesday,1,1,2024,FALSE
DT20240104,04-01-2024,Thursday,1,1,2024,FALSE
DT20240105,05-01-2024,Friday,1,1,2024,FALSE
DT20240106,06-01-2024,Saturday,1,1,2024,TRUE
DT20240107,07-01-2024,Sunday,1,1,2024,TRUE
DT20240108,08-01-2024,Monday,1,1,2024,FALSE
DT20240109,09-01-2024,Tuesday,1,1,2024,FALSE
DT20240110,10-01-2024,Wednesday,1,1,2024,FALSE
DT20240111,11-01-2024,Thursday,1,1,2024,FALSE
DT20240112,12-01-2024,Friday,1,1,2024,FALSE
DT20240113,13-01-2024,Saturday,1,1,2024,TRUE
DT20240114,14-01-2024,Sunday,1,1,2024,TRUE
DT20240115,15-01-2024,Monday,1,1,2024,FALSE
DT20240116,16-01-2024,Tuesday,1,1,2024,FALSE
DT20240117,17-01-2024,Wednesday,1,1,2024,FALSE
DT20240118,18-01-2024,Thursday,1,1,2024,FALSE
DT20240119,19-01-2024,Friday,1,1,2024,FALSE
DT20240120,20-01-2024,Saturday,1,1,2024,TRUE
DT20240121,21-01-2024,Sunday,1,1,2024,TRUE
DT20240122,22-01-2024,Monday,1,1,2024,FALSE
DT20240123,23-01-2024,Tuesday,1,1,2024,FALSE
DT20240124,24-01-2024,Wednesday,1,1,2024,FALSE
DT20240125,25-01-2024,Thursday,1,1,2024,FALSE
DT20240126,26-01-2024,Friday,1,1,2024,FALSE
DT20240127,27-01-2024,Saturday,1,1,2024,TRUE
DT20240128,28-01-2024,Sunday,1,1,2024,TRUE
DT20240129,29-01-2024,Monday,1,1,2024,FALSE
DT20240130,30-01-2024,Tuesday,1,1,2024,FALSE
DT20240131,31-01-2024,Wednesday,1,1,2024,FALSE
DT20240201,01-02-2024,Thursday,2,1,2024,FALSE
DT20240202,02-02-2024,Friday,2,1,2024,FALSE
DT20240203,03-02-2024,Saturday,2,1,2024,TRUE
DT20240204,04-02-2024,Sunday,2,1,2024,TRUE
DT20240205,05-02-2024,Monday,2,1,2024,FALSE
DT20240206,06-02-2024,Tuesday,2,1,2024,FALSE
DT20240207,07-02-2024,Wednesday,2,1,2024,FALSE
DT20240208,08-02-2024,Thursday,2,1,2024,FALSE
DT20240209,09-02-2024,Friday,2,1,2024,FALSE
DT20240210,10-02-2024,Saturday,2,1,2024,TRUE
DT20240211,11-02-2024,Sunday,2,1,2024,TRUE
DT20240212,12-02-2024,Monday,2,1,2024,FALSE
DT20240213,13-02-2024,Tuesday,2,1,2024,FALSE
DT20240214,14-02-2024,Wednesday,2,1,2024,FALSE
DT20240215,15-02-2024,Thursday,2,1,2024,FALSE
DT20240216,16-02-2024,Friday,2,1,2024,FALSE
DT20240217,17-02-2024,Saturday,2,1,2024,TRUE
DT20240218,18-02-2024,Sunday,2,1,2024,TRUE
DT20240219,19-02-2024,Monday,2,1,2024,FALSE
DT20240220,20-02-2024,Tuesday,2,1,2024,FALSE
DT20240221,21-02-2024,Wednesday,2,1,2024,FALSE
DT20240222,22-02-2024,Thursday,2,1,2024,FALSE
DT20240223,23-02-2024,Friday,2,1,2024,FALSE
DT20240224,24-02-2024,Saturday,2,1,2024,TRUE
DT20240225,25-02-2024,Sunday,2,1,2024,TRUE
DT20240226,26-02-2024,Monday,2,1,2024,FALSE
DT20240227,27-02-2024,Tuesday,2,1,2024,FALSE
DT20240228,28-02-2024,Wednesday,2,1,2024,FALSE
DT20240229,29-02-2024,Thursday,2,1,2024,FALSE
DT20240301,01-03-2024,Friday,3,1,2024,FALSE
DT20240302,02-03-2024,Saturday,3,1,2024,TRUE
DT20240303,03-03-2024,Sunday,3,1,2024,TRUE
DT20240304,04-03-2024,Monday,3,1,2024,FALSE
DT20240305,05-03-2024,Tuesday,3,1,2024,FALSE
DT20240306,06-03-2024,Wednesday,3,1,2024,FALSE
DT20240307,07-03-2024,Thursday,3,1,2024,FALSE
DT20240308,08-03-2024,Friday,3,1,2024,FALSE
DT20240309,09-03-2024,Saturday,3,1,2024,TRUE
DT20240310,10-03-2024,Sunday,3,1,2024,TRUE
DT20240311,11-03-2024,Monday,3,1,2024,FALSE
DT20240312,12-03-2024,Tuesday,3,1,2024,FALSE
DT20240313,13-03-2024,Wednesday,3,1,2024,FALSE
DT20240314,14-03-2024,Thursday,3,1,2024,FALSE
DT20240315,15-03-2024,Friday,3,1,2024,FALSE
DT20240316,16-03-2024,Saturday,3,1,2024,TRUE
DT20240317,17-03-2024,Sunday,3,1,2024,TRUE
DT20240318,18-03-2024,Monday,3,1,2024,FALSE
DT20240319,19-03-2024,Tuesday,3,1,2024,FALSE
DT20240320,20-03-2024,Wednesday,3,1,2024,FALSE
DT20240321,21-03-2024,Thursday,3,1,2024,FALSE
DT20240322,22-03-2024,Friday,3,1,2024,FALSE
DT20240323,23-03-2024,Saturday,3,1,2024,TRUE
DT20240324,24-03-2024,Sunday,3,1,2024,TRUE
DT20240325,25-03-2024,Monday,3,1,2024,FALSE
DT20240326,26-03-2024,Tuesday,3,1,2024,FALSE
DT20240327,27-03-2024,Wednesday,3,1,2024,FALSE
DT20240328,28-03-2024,Thursday,3,1,2024,FALSE
DT20240329,29-03-2024,Friday,3,1,2024,FALSE
DT20240330,30-03-2024,Saturday,3,1,2024,TRUE
