shift_id,staff_id,dept_id,date_id,shift_date,shift_type,hours_worked,overtime_hrs,patients_attended,absent_flag
SHF0001,STF011,DEPT10,DT20241218,2024-12-18,Evening,9.8,1.8,10,False
SHF0002,STF039,DEPT04,DT20240617,2024-06-17,Morning,9.7,1.7,7,False
SHF0003,STF034,DEPT07,DT20240622,2024-06-22,Evening,9.0,1.0,8,False
SHF0004,STF017,DEPT05,DT20240112,2024-01-12,Night,8.4,0.4,8,False
SHF0005,STF011,DEPT04,DT20240420,2024-04-20,Morning,8.0,0.0,10,False
SHF0006,STF024,DEPT10,DT20241227,2024-12-27,Morning,0.0,0.0,0,True
SHF0007,STF032,DEPT10,DT20240826,2024-08-26,Night,9.0,1.0,8,False
SHF0008,STF002,DEPT06,DT20240106,2024-01-06,Morning,8.0,0.0,12,False
SHF0009,STF030,DEPT09,DT20240423,2024-04-23,Evening,8.0,0.0,8,False
SHF0010,STF010,DEPT08,DT20240706,2024-07-06,Night,10.1,2.1,8,False
SHF0011,STF026,DEPT08,DT20241207,2024-12-07,Morning,8.9,0.9,4,False
SHF0012,STF037,DEPT08,DT20240810,2024-08-10,Night,9.6,1.6,7,False
SHF0013,STF024,DEPT07,DT20240629,2024-06-29,Morning,0.0,0.0,0,True
SHF0014,STF019,DEPT10,DT20241017,2024-10-17,Morning,10.4,2.4,13,False
SHF0015,STF033,DEPT02,DT20241023,2024-10-23,Morning,8.3,0.3,6,False
SHF0016,STF027,DEPT05,DT20241004,2024-10-04,Evening,8.0,0.0,7,False
SHF0017,STF029,DEPT08,DT20240310,2024-03-10,Evening,10.9,2.9,6,False
SHF0018,STF020,DEPT03,DT20241103,2024-11-03,Morning,9.8,1.8,9,False
SHF0019,STF018,DEPT03,DT20240825,2024-08-25,Morning,8.0,0.0,8,False
SHF0020,STF026,DEPT05,DT20240314,2024-03-14,Morning,8.9,0.9,11,False
SHF0021,STF015,DEPT07,DT20240910,2024-09-10,Night,9.0,1.0,12,False
SHF0022,STF026,DEPT10,DT20240922,2024-09-22,Evening,8.0,0.0,7,False
SHF0023,STF039,DEPT05,DT20240614,2024-06-14,Morning,10.7,2.7,10,False
SHF0024,STF019,DEPT08,DT20240207,2024-02-07,Night,9.6,1.6,9,False
SHF0025,STF028,DEPT03,DT20240520,2024-05-20,Morning,11.3,3.3,4,False
SHF0026,STF005,DEPT09,DT20240424,2024-04-24,Morning,8.0,0.0,8,False
SHF0027,STF021,DEPT07,DT20241228,2024-12-28,Night,11.1,3.1,4,False
SHF0028,STF013,DEPT05,DT20240420,2024-04-20,Night,9.0,1.0,8,False
SHF0029,STF025,DEPT05,DT20240516,2024-05-16,Night,9.9,1.9,7,False
SHF0030,STF001,DEPT05,DT20241122,2024-11-22,Morning,9.8,1.8,12,False
SHF0031,STF019,DEPT08,DT20240727,2024-07-27,Night,8.0,0.0,14,False
SHF0032,STF034,DEPT08,DT20240225,2024-02-25,Night,10.0,2.0,8,False
SHF0033,STF034,DEPT06,DT20240925,2024-09-25,Evening,0.0,0.0,0,True
SHF0034,STF026,DEPT03,DT20240124,2024-01-24,Morning,0.0,0.0,0,True
SHF0035,STF013,DEPT02,DT20240927,2024-09-27,Morning,0.0,0.0,0,True
SHF0036,STF002,DEPT06,DT20240407,2024-04-07,Morning,9.1,1.1,12,False
SHF0037,STF018,DEPT09,DT20241109,2024-11-09,Night,9.5,1.5,8,False
SHF0038,STF024,DEPT05,DT20240620,2024-06-20,Morning,11.0,3.0,7,False
SHF0039,STF003,DEPT08,DT20240930,2024-09-30,Evening,8.4,0.4,12,False
SHF0040,STF015,DEPT08,DT20240315,2024-03-15,Evening,0.0,0.0,0,True
SHF0041,STF012,DEPT01,DT20240417,2024-04-17,Morning,8.8,0.8,12,False
SHF0042,STF014,DEPT07,DT20241114,2024-11-14,Night,8.0,0.0,11,False
SHF0043,STF011,DEPT01,DT20240922,2024-09-22,Morning,9.3,1.3,14,False
SHF0044,STF029,DEPT04,DT20241022,2024-10-22,Night,9.5,1.5,8,False
SHF0045,STF011,DEPT04,DT20240314,2024-03-14,Evening,10.2,2.2,9,False
SHF0046,STF013,DEPT01,DT20240424,2024-04-24,Night,9.4,1.4,10,False
SHF0047,STF039,DEPT01,DT20241116,2024-11-16,Night,8.5,0.5,9,False
SHF0048,STF013,DEPT03,DT20240212,2024-02-12,Morning,8.0,0.0,8,False
SHF0049,STF027,DEPT08,DT20241220,2024-12-20,Morning,9.7,1.7,4,False
SHF0050,STF014,DEPT10,DT20240115,2024-01-15,Night,9.3,1.3,11,False
